state,state_code,helpline_contacts_2025,helpline_contacts_2024,helpline_rate_per_100k_2025,helpline_rate_per_100k_2024,helpline_yoy_change,state_funds_pg_services_fy2025,publication_tier,state_published_indicator,state_published_latest_value,state_published_latest_period,state_publisher,state_source_url,machine_readable,notes
North Carolina,NC,10703,10323,99.7,96.2,"increase, p<.05",Yes,B,Helpline calls,not published by the state,n/a,NC DHHS (collects but does not publish),https://www.ncdhhs.gov/divisions/mental-health-developmental-disabilities-and-substance-use-services/nc-problem-gambling-program,No,Figures reach the public only via Lottery Commission presentations and press
North Dakota,ND,596,468,75.9,59.6,"increase, p<.001",Yes,C,None published,N/A - state publishes nothing,N/A,N/A,N/A,No,"Checked ND HHS Behavioral Health, ND Lottery, Gamblers Choice. No recurring count published."
Ohio,OH,10053,13224,85.1,112.0,"decrease, p<.001",Yes,A,Problem Gambling Helpline calls + Voluntary Exclusion Program (monthly),"6,570 active VEP participants; 11,171 total enrollees; 14,220 applications (as of 9/4/2026, monthly PDF); helpline 382 calls Aug 2026 (monthly chart); 9,460 calls / 361 chats / 792 in clinical care (SFY2025)","Monthly (VEP + helpline calls, Sept 2026 report); SFY2025 (OhioMHAS annual)",Ohio Casino Control Commission (monthly VEP statistics); Ohio Department of Behavioral Health (annual),https://casinocontrol.ohio.gov/responsible-gambling/06-resources-reports-statistics,No,"CORRECTED 2026-09-23 (credit: Ohio Casino Control Commission, N. Pervaiz): Commission publishes monthly VEP statistics PDFs since 2023 incl. active participants, total enrollees, applications, and a monthly helpline-call series; the baseline edition wrongly marked exclusion counts as not published. OhioMHAS annual report remains the treatment source."
Oklahoma,OK,5007,5339,124.3,132.5,"decrease, p<.001",Yes,C,None published,N/A - state publishes nothing,N/A,N/A,N/A,No,"Checked ODMHSAS gambling page, statistics page, and public dashboards. No gambling dashboard, no counts. State uses the national helpline, so its volume sits in NCPG's report."
Oregon,OR,2107,1512,49.5,35.5,"increase, p<.001",Yes,A,Treatment clients and helpline calls,"833 clients, 17,634 encounters; 564 helpline calls",FY2024-25,"Oregon Health Authority, Problem Gambling Services",https://www.oregon.gov/oha/HSD/Problem-Gambling/Documents/FY%202024-25%20PGS%20Treatment%20Program%20Services%20Report.pdf,No,Best treatment dataset in the country; helpline is one narrow intake channel
Pennsylvania,PA,22904,26853,175.9,206.3,"decrease, p<.001",Yes,A,Self-exclusion enrollment requests + helpline calls,"~7,400 enrollment requests (~3,500 iGaming); 2,447 helpline calls",CY2024 (PGCB); SFY2024-25 (DDAP),PA Gaming Control Board; PA DDAP,https://gamingcontrolboard.pa.gov/compulsive-and-problem-gambling,Partial,"Only live self-exclusion dashboard in the country, but JavaScript-rendered, no export"
Rhode Island,RI,1359,1410,123.3,128.0,no significant change,Yes,C,None published,N/A - state publishes nothing,N/A,N/A,N/A,No,"Checked RI Lottery, BHDDH, Auditor General. Voluntary exclusion list is statutorily confidential. Only statutory contribution dollars are public."
South Carolina,SC,5999,4414,113.3,83.3,"increase, p<.001",Yes,C,None published,N/A - state publishes nothing,N/A,N/A,N/A,No,"Checked DAODAS gambling services, statistics page, and the state treatment dashboard. Gambling is not broken out anywhere public."
South Dakota,SD,567,444,62.5,48.9,"increase, p<.001",Yes,C,None published,N/A - state publishes nothing,N/A,N/A,N/A,No,"Checked SD DSS Behavioral Health, SD Lottery, DOR lottery annual report. Only dollar transfers, never counts."
Tennessee,TN,5499,7196,77.8,101.8,"decrease, p<.001",Yes,A,TN REDLINE gambling-related contacts,"8,715 gambling-related contacts (659 specific to gambling addiction); 199 treated",FY2025,TN Dept of Mental Health and Substance Abuse Services,https://www.tn.gov/content/dam/tn/mentalhealth/documents/2025%20TDMHSAS%20Tennessee%20Sports%20Gaming%20Act%20Annual%20Report.pdf,No,"Published by the health agency, not the gaming regulator"
Texas,TX,17508,32973,58.0,109.2,"decrease, p<.001",No,C,None published,N/A - state publishes nothing,N/A,N/A,N/A,No,No state-funded problem gambling services and no state helpline; the line was defunded in 2004. Lottery refers to national resources.
Utah,UT,2211,1725,65.2,50.8,"increase, p<.001",No,C,None published,N/A - state publishes nothing,N/A,N/A,N/A,No,"No legal gambling, no dedicated public funds, no state helpline, no certified counselors identified in state."
Vermont,VT,441,531,68.1,82.1,"decrease, p<.001",Yes,C,None published,N/A - state publishes nothing,N/A,N/A,N/A,No,Two statutory annual reports exist and both publish expenditures only. The DMH report defers utilization data to a joint report with no locatable published copy. Self-exclusion enrollment is not published.
Virginia,VA,7216,7286,82.9,83.7,no significant change,Yes,A,Helpline calls and intakes + Voluntary Exclusion Program + VPGH treatment/support-seeker dashboard,"21,983 calls / 1,508 intakes (CY2025); 1,753 VEP enrolled (3/31/2025); VPGH intake dashboard (continuous, intakes since 1/1/2026; Tableau, no static count)",CY2025 (helpline); 3/31/2025 (VEP); live (VPGH dashboard),Virginia Council on Problem Gambling; Virginia Lottery Board; Virginia Partnership for Gaming and Health (VCU),https://vcpg.net/wp-content/uploads/2026/02/VCPG-2025-Annual-Report.pdf,No,"CORRECTED 2026-09-23 (credit: VPGH/VCU, C. Hawley): added the Virginia Partnership for Gaming and Health data dashboard (https://vpgh.vcu.edu/data-dashboard/) as a treatment/support-seeker series; it is a live Tableau view with no static download, so no value is entered. Use intakes, not calls, for any comparison; VEP counts appear only in Lottery board minutes."
Washington,WA,4057,3121,51.9,39.9,"increase, p<.001",Yes,A,Statewide self-exclusion participants,926 cumulative participants,Year ending 5/1/2024,Washington State Gambling Commission,https://wsgc.wa.gov/about-us/reports-and-publications,No,Non-tribal card rooms only; tribal operators report nothing. No 2025 or 2026 edition posted
West Virginia,WV,2205,2404,124.0,135.2,"decrease, p<.001",Yes,B,Helpline contacts and intakes,"1,759 contacted helpline; 691 completed intake",SFY2022,"Problem Gambling Help Network of WV, via WV Legislature",https://www.wvlegislature.gov/legisdocs/reports/agency/H01_FY_2022_15867.pdf,No,Newer annual report exists only as an Adobe InDesign web viewer with no text layer
Wisconsin,WI,4772,3889,80.7,65.7,"increase, p<.001",Yes,A,Helpline contacts,"14,870 contacts; 933 referrals",CY2024,Wisconsin Council on Problem Gambling,https://www.wi-problemgamblers.org/wp-content/uploads/2025/07/PA-Annual-REPORT-2024.pdf,No,Counter does not separate help-seeking from other calls
Wyoming,WY,565,544,97.0,93.4,no significant change,Yes,C,None published,N/A - state publishes nothing,N/A,N/A,N/A,No,"Has a regulator and a statutory $300,000/yr appropriation but publishes zero harm indicators. Checked the 2025 Gaming Commission Annual Report in full, plus the annual report index 2012-2025."
